C-AROMATIC-STEREONONE-C,C-SINGLE-STEREONONE-O,C-AROMATIC-STEREONONE-O,C-DOUBLE-STEREONONE-O,mpC,C-SINGLE-STEREONONE-C,N-SINGLE-STEREONONE-S,O-DOUBLE-STEREONONE-S,C-SINGLE-STEREONONE-S,C-AROMATIC-STEREONONE-N,N-AROMATIC-STEREONONE-O,C-SINGLE-STEREONONE-F,C-TRIPLE-STEREONONE-N,Br-SINGLE-STEREONONE-C,C-DOUBLE-STEREONONE-C,C-SINGLE-STEREONONE-N,C-DOUBLE-STEREONONE-S,N-SINGLE-STEREONONE-N,N-SINGLE-STEREONONE-O,S-SINGLE-STEREONONE-S,C-SINGLE-STEREONONE-Si,C-AROMATIC-STEREONONE-S,C-SINGLE-STEREONONE-Cl,Cl-SINGLE-STEREONONE-N,N-DOUBLE-STEREONONE-O,N-SINGLE-STEREONONE-Si,C-DOUBLE-STEREOZ-C,C-DOUBLE-STEREOE-C,C-DOUBLE-STEREONONE-N,N-DOUBLE-STEREOZ-N,C-SINGLE-STEREONONE-I,C-TRIPLE-STEREONONE-C,O-SINGLE-STEREONONE-P,P-DOUBLE-STEREONONE-S,N-AROMATIC-STEREONONE-N,N-TRIPLE-STEREONONE-N,B-SINGLE-STEREONONE-C,B-SINGLE-STEREONONE-O,C-DOUBLE-STEREOE-N,C-SINGLE-STEREONONE-P,O-SINGLE-STEREONONE-S,I-SINGLE-STEREONONE-I,O-DOUBLE-STEREONONE-P,N-SINGLE-STEREONONE-P,P-SINGLE-STEREONONE-S,Cl-SINGLE-STEREONONE-S,N-DOUBLE-STEREOE-N,Cl-SINGLE-STEREONONE-P,C-DOUBLE-STEREOZ-N,F-SINGLE-STEREONONE-S,N-DOUBLE-STEREONONE-N,O-SINGLE-STEREONONE-Si,O-SINGLE-STEREONONE-O,Cl-SINGLE-STEREONONE-Si,Si-SINGLE-STEREONONE-Si
9.0,1.0,2.0,1.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,0.0,2.0,-41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,1.0,0.0,162.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,4.0,0.0,1.0,152.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,-40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,2.0,0.0,1.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,111.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-134.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,1.0,247.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
