smiles,M1_alpha_ve,M1_beta_ve,M2_ve,R_ve,ABC_ve,GA_ve,H_ve,X_ve,HM1_ve,HM2_ve,F_ve,F1_ve,ReZG3_ve,AG_ve,ISI_ve,T_ve,ID_ve,ZD_ve,mM1_ve,T_ev,M_ev,F_ev,mM_ev,ID_ev,R_ev,RR_ev,mpC
c1cc(cc2c1ccc(=O)o2)O,806,284,786,4.9421433916743345,14.421094274536092,25.7886214388934,4.895038295038296,7.948704483473413,3184,26258,1612,4726,9036,26.216441846037068,69.99883449883448,142,4.990476190476191,11.316470875289479,1.0157823129251704,124,600,2944,1.195555555555556,5.533333333333334,11.971914108927058,56.67606712556298,230.0
CCOC(=O)C(=O)OCC,378,156,348,4.6722278390997145,11.097670294140311,17.546839882844505,4.5494949494949495,6.3197969252069415,1452,8532,756,1974,3432,18.472937916083705,37.20909090909091,78,4.8,9.116659302293861,1.4933333333333336,76,336,1552,1.1600000000000001,4.466666666666667,8.914752039686062,36.77145462584102,-41.0
NS(=O)(=O)Cc2noc1ccccc12,996,336,964,5.624779320621389,16.51417576508827,29.76330451166618,5.582295482295484,9.104314962350784,3920,36108,1992,6228,11688,30.240185851938623,82.64273504273505,168,5.6678571428571445,12.950939101853134,1.1276403061224494,148,744,3808,1.3066666666666666,6.200000000000001,13.604907270782508,66.47402609669568,162.0
COc1cccc(c1O)C(=O)O,756,256,694,4.972222546208115,13.798817916732283,23.350657682966986,4.82029082029082,7.537192622782615,2900,25002,1512,4814,8304,24.68219892683503,60.954156954156964,128,5.132142857142857,10.898099767090317,1.2826573129251704,112,544,2740,1.2538888888888888,5.366666666666666,11.287471854162177,51.57744793683556,152.0
Fc1ccccc1,280,124,274,3.2108249704942384,8.343574419887329,13.911723633103334,3.188888888888889,4.719564740960328,1108,5574,560,1286,2472,14.09051347747691,30.638888888888886,62,3.2333333333333334,6.707845437689333,0.7661111111111112,60,260,1140,0.785,3.3,6.7888543819998315,28.94427190999916,-40.0
O=C(Oc1ccccc1)c2ccccc2,836,320,812,6.6419524165047505,18.33976034450799,31.757646034800793,6.590520590520592,10.231907109374308,3296,23108,1672,4552,8608,32.250481123134186,78.81507381507383,160,6.695238095238097,14.554938775927877,1.464557823129252,144,660,3084,1.6605555555555556,7.233333333333334,15.183059726927224,67.73179521556382,70.0
N#Cc1ccc(Br)cc1,428,172,414,3.962049594484955,10.550198794434266,17.765138332350134,3.893939393939395,5.891926400593708,1684,10330,856,2186,4136,18.244785002227463,42.125757575757575,86,4.033333333333335,8.428551472267303,1.0094444444444448,80,364,1688,0.9972222222222222,4.166666666666667,8.626836493378832,37.824781390135655,111.0
C=CC(C)(C)CC,284,112,256,2.8117043883352997,7.328718431525358,11.516651981929844,2.6701298701298697,3.9828143344153157,1080,6304,568,1508,2560,12.52630371724558,26.223376623376616,56,2.9666666666666672,5.83606110622838,0.8961111111111112,56,280,1472,0.7155555555555555,2.8000000000000003,5.731248620613787,25.670434111407385,-134.0
c1cc(ncc1C(=O)N)N,524,200,500,4.163378444157187,11.527351494745051,19.72555480241075,4.1,6.383193279263225,2048,13700,1048,2860,5240,20.28188398797719,48.74999999999999,100,4.228571428571429,9.126934563595972,0.954557823129252,92,432,2072,1.0005555555555556,4.433333333333334,9.394205344927391,42.787523305564676,247.0
S=C(Nc1ccccc1)Nc2ccccc2,836,332,822,7.162809058181488,19.577610172954305,33.83726593867023,7.126262626262627,10.975037245911818,3316,21682,1672,4330,8392,34.1653321020902,82.25505050505052,166,7.200000000000003,15.579182724327797,1.578888888888889,152,688,3152,1.7650000000000001,7.700000000000001,16.15541752799933,71.77708763999661,154.0
