,SMILES,Tm
9601,Clc1ccc(cc1)c1[nH0]c(sc1)C(=NNc1ccc(Cl)cc1Cl)C#N,519.15
20735,O=C2Cc4ccc(OC)c(OC)c4CN(C)CCc1cc3OCOc3cc12,433.65
16923,OCC(C)c1ccccc1,260.15
5177,C1COCCN1C=O,295.15
5082,B(c1ccc(cc1C(F)(F)F)F)(O)O,458.15
3819,COc1c(cc(cc1Cl)CBr)F,311.15
22559,O=C(C)c1ccc(C)cc1O,294.15
6534,CCCCCOC(=O)c1c(cc(c(c1OC(=O)C(=O)Oc2c(c(cc(c2Cl)Cl)Cl)C(=O)OCCCCC)Cl)Cl)Cl,351.15
5886,CCc1c[nH]c(=O)[nH]c1=O,582.15
20414,O=S(=O)(CCl)c1ccccc1,327.15
3313,c1cc(c(cc1C(C(=O)O)O)F)F,367.15
13411,O=Cc1cc(Cl)ccc1,291.15
22299,O=C2C=C3CCC1C4CCC(C)(O)C4(C)CC(O)C1C3(C)C=C2C=O,483.65
8431,c1cc(ccc1C#N)C#N,499.15
10716,N#CC1(C#N)C=C(c2ccccc21)c1ccccc1,408.15
15065,c1ccc5cccc4c5c1c2cccc3cccc4c23,551.15
15551,Oc1ccccc1CC=C,267.15
16494,O=[N+]([O-])c1c(N)c(c(N)c([N+]([O-])=O)c1N)[N+]([O-])=O,623.15
16427,CCN(O)CC,283.15
14258,O=C(O)[C@H](O)[C@@H](O)C(O)=O,444.15
298,c1ccc(cc1)C(CCBr)c2ccccc2,314.15
7014,CCOC=C(C#N)C#N,338.15
8760,OC(=O)c1ccccc1,395.15
15235,O=C(O)[C@@H]3[C@@H](O)C[C@@]2(O)C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@H](O)[C@@H](C)C=CC=CC=CC=CC=CC=CC=C[C@H](O[C@@H]1O[C@H](C)[C@@H](O)[C@H](N)[C@@H]1O)C[C@@H]3O2,443.15
8507,c1cc(sc1C(=O)O)C(=O)O,631.15
16580,O=C(O)C3(O)c1ccccc1c2ccc(Cl)cc23,425.15
8984,OC(=O)CN1CSC(=S)N(C1)Cc2ccccc2,425.15
15312,O=C(OC)C(C1CCCCN1)c2ccccc2,498.15
4903,c1cc(c(cc1O)I)Cl,349.15
21819,CCCCCCCCC=CCCCCCCCC#N,272.15
7484,COC(=O)c1cc(ccc1O)[N+](=O)[O-],389.15
14262,CN(C)[C@H]3C[C@@H](C)O[C@@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]1C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)N(C)C[C@H](C)C[C@@]2(C)O)[C@@H]3O,387.15
155,c1ccc2c(c1)CCC2=O,313.15
14030,Brc1ccc(NC(C)=O)cc1,439.15
9557,S=C1NC(=O)C(=NNc2ccccc2[N+](=O)[O-])C(=O)N1,603.15
23317,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,477.15
6655,C[C@@H]1CNC[C@@H](N1)C,383.15
4498,c1cc(ccc1[N+](=O)[O-])OCCN2CCOCC2,353.15
8942,CCC(C)C(C)(COC(N)=O)COC(N)=O,350.15
3737,c1ccc2c(c1)cc(cn2)Br,287.15
12453,O=C1Cc2ccccc21,287.15
11519,O=C(C)CCc1ccc(cc1)CCC(NC(=O)c1ccccc1)C,395.15
9499,O=C(Oc1ccc(cc1)C(=O)C=Cc1ccc2OCOc2c1)c1ccc(OC)cc1,442.15
8733,CCC(C(=O)NC(=O)NC(C)=O)c1ccccc1,373.15
13320,CCc1cccc(CC)c1,189.15
16429,CN(C)CC(C)CN2c1ccccc1S(=O)(=O)c3ccccc23,388.15
15832,O[C@@H]1[C@H](O[C@@H](CO)[C@H](O)[C@H]1O)O[C@@]2(CO)O[C@@H](CO)[C@H](O)[C@H]2O,458.65
10045,O=[N+]([O-])c1ccc(O)c(c1)c1cc([N+](=O)[O-])ccc1O,459.15
20267,CC(C)SSC(C)C,204.15
3068,CCCCCCCCCCCC(C)O,298.15
18966,Oc1ccc(CCN)cc1O,401.15
6029,CCCCCCC(CCCC)O,269.15
659,CCOc1ccccc1OCC,317.15
7166,CCOC(=O)Cc1c[nH]c2c1cccc2,316.15
10615,Clc1ccc(Cl)c(N2C(=O)C3ON=C(C(=O)c4ccc(OC)cc4)C3C2=O)c1,420.15
6027,Cc1cc(cc(c1)C(C)(C)C)C,251.15
2638,B(c1c(cccc1F)OC)(O)O,398.15
3594,c1cc(c(nc1)[N+](=O)[O-])N,465.15
1873,CC(=O)c1ccc2cc3ccccc3cc2c1,463.15
23280,O[C@@H](C)[C@H](O)C,307.65
6835,CCOC(=O)CC(=O)OCC,223.15
21867,CCOc1ccc2C[C@H]5N(C)CC[C@@]43C5C=CC(O)C4Oc1c23,473.15
1900,c1c(cnc(c1Br)N)Br,377.15
7661,COC(=O)c1ccncc1,281.15
23406,O=C1NC(=O)NC(=O)C1(C(C)C)CC,476.15
16076,O=S2(=O)CCN(CN1CCS(=O)(=O)NC1)CN2,429.15
14381,BrCCCCCCCCBr,288.65
6039,CC1(OC(=O)C2(CC2)C(=O)O1)C,338.15
964,c1cc(ccc1OCCO)Cl,303.15
459,CC(C)(C)c1ccc(cc1)C(C)(C)C,350.15
20205,CO[Si](CCCCCCCCCCCCCCCCCC)(OC)OC,288.15
13051,OCc1ccccc1,258.15
10834,O=C1N2c3ccccc3C=CC2Cc2ccccc12,364.15
13400,O=[N+]([O-])c1cccc(O)c1,371.15
14119,Ic1ccc(CC#N)cc1,321.15
6201,c1cc2c(cc1Br)SCC(=O)N2,485.15
17327,ClC(Cl)(Cl)C(=O)OC,255.65
8887,CCC(=C(c1ccccc1)c2ccc(OCCN(C)C)cc2)c3ccccc3,369.15
5232,c1ccc(cc1)C(=O)/C=C/c2ccc(cc2)O,457.15
20944,CCCC(C1CCCCC1)C2CCCCC2,262.65
17597,OC(=O)c1cc(ccn1)C(=O)O,522.15
23355,O=C(OCC(N)=O)C1=C(C)N(N=C1)C2=CC=CC=C2,427.15
9399,O=C(N)NN=C1CC(C)c2ccc(C)cc21,500.15
12660,Nc1cccc2c(N)cccc12,431.15
10611,S1C2=NC(=O)c3ccccc3N2N=C1C(=O)c1ccc(OC)cc1,453.15
8846,CC1C(OCCN1Cc3c(C)n(C)n(c2ccccc2)c3=O)c4ccccc4,422.15
2102,c1cc(c(nc1)Br)C(F)(F)F,311.15
7227,c1ccc2c(c1)-c3ccccc3C2CC(=O)O,407.15
16654,O=C2c1ccccc1C(=O)C(C)=C2C,400.15
13041,CCC(Cl)CC,168.14999999999998
11805,O=C1OCCOC(=O)c2ccccc2C(=O)OCCOC(=O)c2ccccc21,465.15
19971,CCCC(CCC)C(N)=O,398.15
2768,c1ccc(c(c1)CO)I,364.15
1977,c1c(ncc(n1)Br)N,388.15
1966,c1cc(c(cc1[N+](=O)[O-])N)O,416.15
10295,Clc1[nH0]c(c[nH0]c1C(C)(C)C)C(=O)Nc1cccc(C)c1,372.15
22552,O=C(CC(=O)OCC)C(C)C,264.15
22907,[N+](=O)([O-])C1=CC=C(C=C1)\C(C(=O)O)=C/C2=CC=CC=C2,500.65
2222,Cc1cccc(c1Br)C,263.15
23292,CCc1cccc(c1N(C(C)COC)C(=O)CCl)C,298.15
4543,c1(c(c(c(c(c1F)F)N)F)F)C(=O)O,456.15
14489,Fc1cc(F)c(F)c(O)c1F,311.15
4579,c1cc(c(cc1C#N)[N+](=O)[O-])N,433.15
19527,c1ccc2Sc3ccccc3Cc2c1,401.65
8580,Cc1ccc(cc1)P(c2ccc(cc2)C)c3ccc(cc3)C,418.15
8382,c1ccc(cc1)c2c3ccccc3c(c4c2c(c5ccccc5c4c6ccccc6)c7ccccc7)c8ccccc8,606.15
2732,c1ccc(c(c1)C(=O)NN)O,421.15
17019,Cc1ccc2nc(C)ccc2c1,333.15
12431,Brc1[nH0]c(N)cc(N)c1C#N,530.15
6426,c1ccc2c(c1)C=CS2(=O)=O,411.15
3664,c1c(cnc(c1Br)Cl)Cl,312.15
20928,O=C1CC2CCCCC2C1,261.15
20382,CC(Cl)(C)CCC(C)(C)Cl,340.65
19600,Oc1cc(C)cc(O)c1C,436.15
16695,Clc1cccc2ccc(Cl)cc12,336.65
15864,CN3[C@H]1CC[C@@H]3C[C@@H](C1)OC(=O)[C@H](CO)c2ccccc2,381.65
17904,O=C3c1ccccc1C(=O)c2c3ccc(C)c2Cl,443.65
3132,CC(C)n1cc(c2c1cccc2)c3ccc(cc3)F,370.15
9311,Brc1cccc2c(cccc12)C=NO,407.15
23056,O=[N+]([O-])c1ccc(C(=O)O)cc1,515.15
19255,Brc1ccc2Oc3ccc(Br)cc3Oc2c1,418.15
11612,O=C(C)c1[nH0][nH0](c2cc3[nH0]([nH0]c(c3cc21)C(=O)C)c1ccccc1)c1ccccc1,584.15
5462,c1cc(ccc1C(=O)N)[N+](=O)[O-],473.15
4178,c1ccc(cc1)CCCO,255.15
4445,CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C,499.15
17173,ICCCI,253.15
13271,CC(CCCCC)CO,161.14999999999998
3556,CC(=O)Nc1cccc(c1)O,421.15
2580,COc1cccc(c1F)C=O,322.15
12335,O=[N+]([O-])c1ccc2CCc3ccc(c1c23)C(=O)Cc1ccccc1,462.15
13295,CC(C)(C)C(C)C(C)O,300.15
8487,c1ccc(cc1)C(c2ccccc2)(c3ccccc3)c4ccccc4,556.15
16419,O=C(Oc1ccccc1C(C)CC)NC,304.65
13347,BrC(C)CC,161.14999999999998
16097,OC(CC)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,400.15
20922,Cl[Si](Cl)(OCC)OCC,143.14999999999998
897,COc1ccc(cc1OC)SCC(=O)O,375.15
4783,Cc1cc(c(cc1[N+](=O)[O-])Br)F,334.15
3100,Cc1nc(cn1CCC#N)[N+](=O)[O-],388.15
23472,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3S2,484.15
12697,OC1CCC2(C)C(CCC3C4CCC(O)C4(C)CCC32)C1,440.15
13982,O=[N+]([O-])c1cc(Br)ccc1,327.15
15323,C[N+](C)(C)CCCCCCCCCCCCCCCC,513.15
5240,c1cc(ccc1CC(=O)O)O,422.15
5425,CCCCc1ccc(cc1)S(=O)(=O)Cl,287.15
7523,Cc1csc(c1N)C(=O)OC,359.15
1868,Cc1ccc(s1)C(=O)C,299.15
1077,c1ccc2c(c1)nsn2,316.15
1950,CCc1ccnc(c1)N,340.15
7174,CCOC(=O)CS,193.15
17895,O=C(OCCCCC)c1ccccc1C(=O)OCCCCC,218.15
21813,O=C(Nc1ccc2nn(C)nc2c1)c3ccccc3,438.65
3357,c1cc(c(cc1C(=O)O)[N+](=O)[O-])[N+](=O)[O-],438.15
18661,Clc1ccc(cc1)C4(O)c2ccccc2C3=NCCN34,471.65
12352,OC1CCC2(C)C(CCC3C4CCC(O)(C)C4(C)CCC32)C1,437.15
19848,OCCOc2cccc1ccccc12,318.15
16032,CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,203.15
22394,CN2C1CCC2CC(O)C1,337.15
19378,O=C3c4ccccc4Oc2c3ccc(OC)c2CN1CCCCC1,432.65
4306,B(c1ccc(cc1)C(=O)OC)(O)O,496.15
806,c1cc(ccc1N2CCNCC2)F,305.15
20865,O=C(OC)C2(CCN(CCc1ccccc1)CC2C)N(c3ccccc3)C(=O)CC,450.15
7725,Cc1cccc(c1)CC(=O)O,337.15
6424,c1ccc2c(c1)c(co2)CC#N,312.15
2132,c1cc(ccc1C(=O)CBr)F,320.15
22903,C(C)(=O)O[C@@H]1[C@@H]([C@H]([C@@H](O[C@@H]1C#N)C)OC(C)=O)OC(C)=O,402.65
16116,Clc2cc(c1ccccc1)c(Cl)cc2Cl,349.45
13318,BrC=CCC,173.14999999999998
10616,O=C1N(C(=O)C2C(=NOC12)C(=O)c1ccc(OC)cc1)c1ccc(cc1)C(=O)O,472.15
9068,O=C1N(C)c2ccccc2C(O)=C1C1=NNC(=O)C1=NNC=1C(=O)N(N(C)C=1C)c1ccccc1,473.15
987,C1C=CC(=O)O1,277.15
973,CCOc1ccc(cc1)CCO,315.15
18388,[O-][N+](=O)C(C)(CO)CO,423.25
14938,CN=C=O,193.15
23081,COC(=O)C1CCCN1C(=O)COC(=O)CC2=CC(C=CC=C2)NC3=C(C=CC=CC3Cl)Cl,722.15
6777,c1ccc2c(c1)CCc3ccccc3C2Cl,380.15
19576,Fc1cc(C)ccc1[N+](=O)[O-],326.35
698,c1ccc(c(c1)S)S,296.15
13282,CC(O)(CCC)CCC,191.15
23264,O=C(O)CC(C)C,243.85
12017,O=C1c2ccccc2CC1=Cc1ccccc1,383.15
11350,O=C1Nc2cc(ccc2CC1)CCC(=O)OC,416.15
5878,c1cc(ncc1C#N)C(F)(F)F,312.15
2087,c1c(cc(c(c1F)Br)F)F,277.15
1857,Cc1ccccc1NC(=O)CC(=O)C,378.15
8809,CC(=NNC(=O)c1ccncc1)c2ccco2,472.15
9197,O=C1N(c2ccccc2)c2ccccc2C(O)=C1C(=Nc1ccccc1O)C,542.15
20577,Cc2cc(C)nc(Nc1ccccc1)n2,369.45
2901,Cc1ccc2c(c1)C(=O)c3ccccc3C2=O,445.15
7837,CN(C)c1ccc(cc1)[N+](=O)[O-],438.15
1676,c1ccc(cc1)C2=CC(=O)C(=CC2=O)c3ccccc3,490.15
15500,ClCC(=O)[C@]3(OC(=O)CC)[C@@]4(C)C[C@H](O)[C@@]2(F)[C@@H](CCC1=CC(=O)C=C[C@@]12C)[C@@H]4C[C@@H]3C,469.4
20443,Clc2nnnn2c1ccccc1,396.15
4912,COc1ccc(c(c1)[N+](=O)[O-])Cl,317.15
23352,CC(=NC(=Nc1ccccc1)S)O,439.65
17917,O=C(O)COc1ccc2ccccc2c1,429.15
15969,O=C1OCc2c1c(Cl)c(Cl)c(Cl)c2Cl,482.65
10652,c1ccc(cc1)c1ccc2c(c1)c1CCCCc1c1CCCCc21,409.15
20480,Cc2cc(nc(Nc1ccccc1)n2)C#CC,405.95
19567,CC(C)(F)F,168.34999999999997
16098,CCN(CC)CCn2cnc1c2C(=O)N(C)C(=O)N1C,348.15
817,COc1cccc(c1)C(=O)NNC(=O)c2cccc3c2cccc3,463.15
13235,Oc1cccc(O)c1O,407.15
18546,CC6C2C(CC3C4CC=C1CC(O)CCC1(C)C4CCC23C)OC56CCC(C)CN5,475.15
5551,c1ccc(cc1)N=Nc2ccc(cc2)N=C=S,370.15
16868,Oc1cc(Cl)c(C)cc1,328.65
7511,COC(=O)c1cc(cc(c1)Br)Br,336.15
17790,c1ccc2c3sc4ccccc4c3ccc2c1,462.15
15045,NP(=O)(OC)SC,318.15
9097,O=C1N(C)c2ccccc2C(O)=C1C1=NNC(=O)C1=CNc1ccccc1,545.15
15678,O=C1NC(=O)NC(=O)C1(CC)C2=CCCCCC2,447.15
16548,O=C(Oc1cc(C)cc(c1)C(C)C)NC,360.15
23255,[O-][N+](=O)NC/1=N/CCN\1Cc2cnc(Cl)cc2,413.25
22888,O=C(c1ccc(OC)cc1O)C=Cc2cccc(OC)c2OC,372.65
382,C1COCCOCCOCCOCCOCCO1,312.15
11497,[O-][N+](=Nc1ccccc1)c1ccc(N=Nc2ccccc2)c(C)c1,376.15
18252,O=C2N=NNc1ccccc12,490.15
6363,C([C@H]([C@@H]1[C@@H]([C@@H]2[C@H](O1)O[C@@H](O2)C(Cl)(Cl)Cl)O)O)O,456.15
15299,CN(C)Cc1c2cc3CN4C(=O)C=5COC(=O)[C@](O)(CC)C=5C=C4c3nc2ccc1O,488.65
2209,c1ccc(c(c1)C(=O)Cl)Br,283.15
12536,P(CP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,394.15
2790,COc1ccc2c(n1)[nH]c(n2)S,513.15
10700,FC(F)(F)C(=O)OCc1cc2ccccc2cc1C,365.15
17209,O=C(C)OC1CCCCC1,208.15
10781,O=C(OC)c1cc2cc3CCc3cc2cc1C(=O)OC,397.15
5594,C=Cc1ccc(cc1)c2ccccc2,389.15
4537,C(CCO)CN,290.15
11086,S=C=Nc1ccccc1C(c1oc(C)cc1)c1oc(C)cc1,338.15
11947,O=C1NC(=O)C(=Cc2oc(cc2)c2ccc(C)cc2)C(=O)N1,538.15
17794,c1cccc2nnc3ccccc3c12,431.15
16949,COc2ccc1c(CCCC1=O)c2,351.15
21826,Clc2ccc(Cn1cncn1)cc2,340.15
12076,FC(F)(F)C=1[nH0]2[nH0]c(cc2N=C(C)C=1)c1ccc(OC)cc1,440.15
16042,O=C(C)Oc1ccccc1,243.15
9085,s1cc[nH0]c1NC=C1C(=O)NN=C1C=1C(=O)N(C)c2ccccc2C=1O,521.15
4900,c1cc(c(cc1CBr)F)Cl,305.15
447,c1cc2c(cccc2N)c(c1)N,464.15
14007,CCCCCCCCCCC1CCCC1,251.15
10582,O=C1N(C(=O)C2C(=NOC12)C(=O)c1occc1)c1ccc(OC)cc1,410.15
21102,N#Cc1ccnc2ccccc12,376.65
22594,Nc1ccc(NC)cc1,309.15
5084,c1cc(c(cc1F)C(F)(F)F)S(=O)(=O)Cl,323.15
10413,s1c2sc(c(N)c2c(N)c1C#N)C(=O)OCC,535.15
8598,C1CCC(CC1)P(=O)(C2CCCCC2)C3CCCCC3,429.15
7187,CCOC(=O)c1ccccn1,275.15
15468,FC(F)(F)C1=CN(C(=O)NC1=O)[C@H]2C[C@H](O)[C@@H](CO)O2,460.65
14749,CCOc1ccc2nc(N)sc2c1,435.15
11796,Oc1cccc(O)c1Cc1c(O)cccc1O,528.15
1687,c1cc(nc(c1)C(F)(F)F)C(F)(F)F,330.15
16274,CN3Cc4c1ccccc1n(Cc2ccccc2)c4CC3,368.15
13776,O=C(O)c1ccc(CCCC)cc1,373.15
2343,B(c1ccc(cc1Cl)OC)(O)O,475.15
11950,O=C1Oc2ccccc2C(NC2CCCCC2)=C1,467.15
11266,Clc1ccc(N2N=C(C(=O)OCC)C(C2=O)C(Cl)C2(Cl)C(=O)N(N=C2C(=O)OCC)c2ccc(Cl)cc2Cl)c(Cl)c1,372.15
1407,Cc1cc(c(c(c1CCl)C)CCl)C,379.15
10198,O=[N+]([O-])C=1NN(C)C2=NC=CC(=O)C2=1,496.15
11792,O=C(OC)c1cc(OCc2cc(cc(c2)COc2cc(cc(c2)C(=O)OC)C(=O)OC)COc2cc(cc(c2)C(=O)OC)C(=O)OC)cc(c1)C(=O)OC,461.15
21373,OCC=C/CO,277.15
15552,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,275.95
18814,Clc2cc(Cl)ccc2Cc1cc(ccc1O)C(C)(C)CC(C)(C)C,351.15
19760,CCOc1cccc(c1)[N+]([O-])=O,309.15
6437,c1ccc2c(c1)c3ccccc3nn2,431.15
4885,c1cc(c(cc1C(=O)O)C(F)(F)F)Cl,437.15
9942,OC1CCC2(C)C3CCC4(C)CCCCC4(C)C3CCC12C,440.15
6503,C([C@@H]1[C@H]([C@H]([C@H]([C@@H](O1)O)O)O)O)O,418.15
19811,O=C(CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,345.15
3539,Cc1cc(cnc1)C,264.15
21190,CC(C)(C)CCCC(C)C,168.14999999999998
514,c1ccc(cc1)C#Cc2ccc(cc2)C#Cc3ccccc3,450.15
15145,O=C(O)CCCCCCCCCC,301.65
6907,COC(=O)CCC(=O)OC,292.15
22071,OC(=O)C2CCCN2C(=O)COC(=O)c1ccccc1,389.65
4277,CC(C)(C)OC(=O)NC1CCNCC1,437.15
129,Cn1c2ccccc2ccc1=O,348.15
7359,CC(=C)C=C,127.14999999999998
3488,COc1cc(cc(c1)OC)O,319.15
19645,O1[Si](O[Si](O[Si](O[Si]1(c2ccccc2)c3ccccc3)(c4ccccc4)c5ccccc5)(c6ccccc6)c7ccccc7)(c8ccccc8)c9ccccc9,473.65
9926,S=C(NC)NCO,361.15
11527,[nH0]1c(C)ccc2cc3NC(C)CCc3cc12,444.15
7202,CCOC=C,158.14999999999998
11961,O=C1OC(=CC1=Cc1oc(cc1)c1ccccc1)CC(C)C,349.15
8063,c1cc(cnc1)C(=O)NN,435.15
5682,Cc1cc(n(n1)C)N,348.15
7296,c1ccc(cc1)C=NC(c2ccccc2)N=Cc3ccccc3,377.15
14331,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,386.15
20087,C1CCc2ccc3CCCc4ccc1c2c34,406.15
1928,c1cc(c(nc1)N)[N+](=O)[O-],439.15
14935,IC(I)I,394.65
20315,FC(F)C(F)C(F)(F)F,117.04999999999998
17492,C(SCc1ccccc1)c2ccccc2,322.65
12757,Oc1ccc(cc1)CCN,437.15
18297,O=C(OCCCC)COC(=O)c1ccccc1C(=O)OCCCC,238.15
3374,c1c(cc(cc1C(F)(F)F)C(F)(F)F)C(=O)NN,406.15
23174,O=C4\C=C2/[C@]([C@H]1CC[C@@]3([C@@H](C(=O)CO)CC[C@H]3[C@@H]1CC2)C)(C)CC4,415.15
18738,NC(=O)c1ccccc1OCCCCCC,344.15
8537,COc1ccc(c(c1OC)OC)/C=C/C(=O)O,447.15
599,c1cc(sc1)C=CC(=O)c2cccs2,372.15
6632,c1ccc(cc1)[Si](c2ccccc2)(c3ccccc3)Cl,367.15
11852,S1c2[nH0][nH0]c([nH0]2NC1c1ccc([N+](=O)[O-])cc1)c1ccc(OCC)cc1,371.15
8692,CCCCCCCCCCC=O,271.15
8447,CC(C)(C)N,206.15
9687,O=C1C=C(C=Cc2ccccc2)CCC1,339.15
3489,COc1cc(cc(c1)OC)N=C=S,324.15
316,c1c(c(cc(c1F)Br)F)F,254.15
13265,N#Cc1cccc(C#N)c1,434.15
3400,c1c(cc(cc1Br)Br)C(=O)N,455.15
569,CC(C)c1cccc(c1)C(C)C,210.15
