name,smiles,molecular_weight,melting_point_K,boiling_point_K,heat_of_fusion,heat_of_vaporization,critical_temperature,critical_pressure,flash_point,logP,M1,M2,HM,H,mm2,ReZG3,F,IS,A,R,RR,ABC,SC
methylamine,CN,31.0571,179.95,266.75,197378.37724707072,840051.8351464672,430.8,7620000.0,263.15,-0.57,2.0,1.0,4.0,1.0,1.0,2.0,2.0,0.5,0.0,1.0,1.0,0.0,0.7071067811865475
dimethyl ether,COC,46.06844,133.4,248.3678379,107231.76213477163,465166.0427679831,400.378,5336800.0,232.15,0.1,8.0,8.0,32.0,1.0,0.5,32.0,16.0,2.0,16.0,1.0,0.5,1.4142135623730951,1.0
nitroethane,CC[N+](=O)[O-],75.0666,183.9,387.25,131216.81280356378,483315.3013166722,595.0,4850002.0,300.15,0.18,28.0,48.0,198.0,1.1547619047619047,0.35416666666666663,344.0,102.0,6.761904761904762,54.61096296296296,1.1809036597828995,0.35416666666666663,2.6104736656181475,1.5177306270755913
pyridine,c1ccncc1,79.09989999999999,231.15,388.35,104677.75559766828,447634.0383500065,620.0,5650000.0,291.15,0.65,48.0,96.0,384.0,1.5,0.375,768.0,192.0,12.0,113.77777777777776,1.5,0.375,3.6742346141747673,2.1213203435596424
phenol,Oc1ccccc1,94.11124,314.15,454.95,122302.07571380422,493889.27547795104,694.2,5930000.0,348.15,1.48,62.0,137.0,554.0,1.5944444444444446,0.37166666666666665,1236.0,280.0,15.319444444444443,161.23331249662562,1.605412485247119,0.37166666666666665,4.171787209943664,2.359782370480164
n-methylpyrrolidine,CN1CCCC1,85.14753999999999,183.15,479.25,78581.24850113111,234524.81221384907,550.0,4200000.0,259.0,0.92,54.0,121.0,490.0,1.3444444444444446,0.30916666666666665,1108.0,248.0,13.319444444444443,142.27034953366268,1.355412485247119,0.30916666666666665,3.5594147742478697,2.00622897988689
toluene,Cc1ccccc1,92.13842,179.2,383.7457531,72065.48582013887,360698.1003747074,591.75,4126300.0,277.15,2.73,62.0,137.0,554.0,1.5944444444444446,0.37166666666666665,1236.0,280.0,15.319444444444443,161.23331249662562,1.605412485247119,0.37166666666666665,4.171787209943664,2.359782370480164
urea,N=C(N)O,60.05526,406.5,626.15,231453.49799501328,562338.5658581216,705.0,9050000.0,375.3040935,-2.11,18.0,27.0,108.0,1.0,0.3333333333333333,162.0,54.0,4.5,34.171875,1.0,0.3333333333333333,2.0,1.2247448713915892
nitrobenzene,O=[N+]([O-])c1ccccc1,123.1094,279.0,483.85,98449.02176438192,359744.5007703005,712.0,3495713.0,361.15,1.85,86.0,207.0,850.0,1.9444444444444442,0.4440476190476191,2116.0,436.0,20.944444444444443,244.44815624662562,1.9707039278313898,0.4440476190476191,5.2764393435534105,2.9469056328242007
hydrogen cyanide,C#N,27.02534,259.75,298.78,311189.4244438738,996419.9312649296,457.0,5400000.0,253.15,-0.25,2.0,1.0,4.0,1.0,1.0,2.0,2.0,0.5,0.0,1.0,1.0,0.0,0.7071067811865475
pentaerythritol,OCC(CO)(CO)CO,136.14638,532.4,631.0,35256.170601083926,770710.3955573357,780.0,4780000.0,523.7684914,-1.69,80.0,200.0,872.0,1.7582417582417582,0.5,2360.0,472.0,18.02197802197802,224.33658903080388,1.8973665961010278,0.5,4.926044821086494,2.6212582844873675
acetonitrile,CC#N,41.05192,226.65,354.75,198772.67616228425,735567.2654901212,545.5,4850000.0,275.15,-0.34,8.0,8.0,32.0,1.0,0.5,32.0,16.0,2.0,16.0,1.0,0.5,1.4142135623730951,1.0
hydrazine,NN,32.04516,275.15,386.7,395067.46104559937,1274284.6770695578,653.0,14692125.0,311.15,-2.07,2.0,1.0,4.0,1.0,1.0,2.0,2.0,0.5,0.0,1.0,1.0,0.0,0.7071067811865475
oxirane,C1CO1,44.05256,161.8,283.6595561,117359.80837436007,578063.7087249685,468.92,7304700.0,253.15,-0.3,18.0,27.0,108.0,1.0,0.3333333333333333,162.0,54.0,4.5,34.171875,1.0,0.3333333333333333,2.0,1.2247448713915892
naphthalene,c1ccc2ccccc2c1,128.17052,353.35,491.15,148318.03756433225,336834.7726109612,748.4,4050000.0,350.15,3.34,114.0,301.0,1224.0,2.198412698412698,0.4596938775510204,3342.0,622.0,28.055555555555557,370.8042986043623,2.213407737639872,0.4596938775510204,6.224138379236224,3.4624018948115576
