name,smiles,molecular_weight,melting_point_K,boiling_point_K,heat_of_fusion,heat_of_vaporization,critical_temperature,critical_pressure,flash_point,logP
ammonia,N,17.03052,195.45,239.8343186,332344.5203082466,1369668.5526914473,405.56,11363400,,
"1,4-benzodioxane-2-carboxylic acid",O=C(O)C1COc2ccccc2O1,180.15742,389.65,647.6,193464.13819647284,,891.16869,4216562.7,,
acetylene,C#C,26.03728,192.4,189.00035,144561.95117155096,634968.537,308.3,5988200,,0.37
adenosine triphosphate,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,507.181023,449.15,,,,,,,
rhodizonic acid,O=c1c(O)c(O)c(=O)c(=O)c1=O,170.07648,521.15,792.78,75777.67367,,1083.9702,8541722.9,,
glucuronolactone,O=C[C@H](O)[C@H]1OC(=O)[C@@H](O)[C@H]1O,176.12412,450.65,717.26,153142.00008494008,,894.20891,5351345.2,,
"pyridine, 2,4-diethyl-",CCc1ccnc(CC)c1,135.20622,301.67,460.65,132064.93014892362,292326.6080287907,673,3000000,,
n-[(phenylmethoxy)carbonyl]-l-alanyl-l-alanine,C[C@H](N=C(O)[C@H](C)N=C(O)OCc1ccccc1)C(=O)O,294.30312,411.15,1051.13,,,1288.1861,2145333,,
amoxicillin,CC1(C)S[C@@H]2[C@H](N=C(O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,365.40416,413.15,1191.79,,,1463.529,2884301.4,,0.87
"butane, 2-methyl-3-nitro-",CC(C)C(C)[N+](=O)[O-],117.14634,259.72,424.15,111151.57332273464,326273.4581611975,614,3200000,,
amygdalin,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,457.42848,497.65,1531.26,172197.4110575712,,2253.3905,2298113.1,,
boron nitride,B#N,24.8177,3240.15,,3263799.6268792027,,,,,
salicylaldehyde,O=Cc1ccccc1O,122.12134,266.15,481.15,,369497.6910478144,680,4990000,349.15,1.81
carbon dioxide,O=C=O,44.0095,216.65,194.67,204955.7481907316,382838.7222460998,304.1282,7377300,,0.83
methylamine,CN,31.0571,179.95,266.75,197378.37724707072,840051.8351464672,430.8,7620000,263.15,-0.57
6-amino-4(3h)-pyrimidinone,Nc1cc(O)ncn1,111.102,536.65,578.35,192732.8040899353,,852.67975,8849800.3,,
carbon monoxide,[C-]#[O+],28.0101,68.15,81.63818292,29739.272619519383,214682.9147976303,132.86,3494000,,
dextramycin,O=[N+]([O-])c1ccc([C@H](O)[C@H](CO)N=C(O)C(Cl)Cl)cc1,323.12938,423.65,996.72,129848.91686419849,,1228.1903,3318184.7,,
cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,386.65354,421.65,732.15,93670.42132861374,201138.64377967105,959,1250000,,
caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.1906,511.15,640.4,113290.75660716844,417842.29988911096,850,4160405,,-0.07
p-methoxybenzylidene p-cyanoaniline,COc1ccc(C=Nc2ccc(C#N)cc2)cc1,236.26858,379.15,807.3,,,1063.8864,2117778.6,,
