,SMILES,Tm
14491,Oc1c(Cl)ccc(Cl)c1Cl,329.15
18469,O=S(=O)(N(C)C)c1ccc(OP(=S)(OC)OC)cc1,326.15
12051,O=CC=1C(=O)Oc2ccccc2C=1N,541.15
10280,O=C1c2ccc(OC)cc2CC21CCC(O)(CC2)c1ccc(cc1)C(C)(C)C,439.15
15484,CC=1NC(C)=C(C(C=1C(=O)OC)c2ccccc2[N+]([O-])=O)C(=O)OC,446.15
13378,O=C(N)c1ccccc1O,415.15
17594,O=[N+]([O-])c1ccc(cc1Cl)OP(=S)(OC)OC,294.15
8165,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,369.15
19432,Oc1ccc(cc1)C(c2ccccc2CO)c3ccc(O)cc3,474.65
4625,c1ccc(cc1)COc2ccc(c(c2)O)C=O,352.15
23220,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,398.15
222,C1CC=C(C1)C(=O)O,392.15
3545,c1cc(c(c(c1F)C(=O)O)O)F,425.15
18565,O=C(OCCC)CN1C=C(I)C(=O)C(I)=C1,459.15
12245,O=C1C=C(NC)C(=O)c2ccccc12,503.15
2442,C=C(C(=O)O)Cl,338.15
22583,CC(=O)OC(OC(C)=O)c1ccccc1,319.15
17263,c1cc(cc2ccccc12)c3ccccc3,376.65
3986,c1cc(c(nc1)[N+](=O)[O-])O,344.15
1972,C1Cc2c(sc(c2C#N)N)C1,427.15
21620,O=C(O)CCCCCCCC=CC=CCCCCCC,264.65
1570,Cc1cc(ccc1OC(=O)C)OC(=O)C,314.15
14128,OC(=O)c1ccc(I)cc1,546.15
2281,c1cc(c(cc1C(=O)CCl)O)O,447.15
6132,C=CCCCCC(=O)O,267.15
12529,O=[N+]([O-])c1cc(C#N)ccc1O,414.15
2821,CC(=O)c1cc(ccc1OC)OC(F)(F)F,319.15
2021,c1cc(c(c(c1)F)C(=O)O)N,439.15
12069,O=C1OC(=NC1=Cc1ccc(N(C)C)cc1)c1ccccc1,478.15
6188,Cc1cc(=O)oc2c1ccc(c2)N,500.15
7139,CCOC(=O)C(C#N)NC(=O)C,402.15
10094,O=C(O)CCC(C)C1CCC2C3CCC4CCCCC4(C)C3CC(O)C21C,460.15
9669,N#CC(=Cc1c[nH0]ccc1)C1N=C2C=CC=CC2=N1,502.15
8929,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCCC2,447.15
9853,O=[N+]([O-])c1cccc(NN=C(C#N)C(=O)OCC)c1,429.15
9966,Clc1cc2NC(N(C(=O)c2cc1[S+2]([O-])([O-])N)c1ccccc1C)C,525.15
6098,c1cc2c(cc1Cl)C=C(CO2)C(=O)O,516.15
21909,CC=3C[C@@]2(C[C@H]1CC[C@@H]2CN1C)OC(=O)C=3,327.65
2556,CCCCC(CC)CO,197.15
16235,Oc1cc(C)c(Cl)cc1[N+]([O-])=O,406.15
12461,O=C(OC)C1=C(NC(C)=C(C(=O)OC)C1c1ccccc1)C,471.15
8268,c1ccc2c(c1)COC2=O,347.15
10466,O=C1OC=2CCCCC=2C(c2ccccc2)C1(C)C,368.15
19331,FC(F)(Cl)C(F)(F)C(Cl)F,176.14999999999998
21837,CC(C(C)=NOC(=O)NC)S(C)(=O)=O,360.15
3344,COc1ccc(cc1OC)CC#N,337.15
902,c1ccc2c(c1)NC(=O)CS2,450.15
10508,Clc1ccc(N2C(=O)C3ON=C(C(=O)c4ccccc4)C3C2=O)cc1,410.15
181,c1ncn(n1)CC(=O)O,476.15
17137,OC(=O)c1cc(ccc1O)C(=O)O,583.15
17981,ClCCOCCOCCCl,241.65
22210,O=C3c1ccccc1C(=O)c2c3cccc2CN,444.15
8542,c1ccc(c(c1)/C=C/C(=O)O)Br,491.15
1853,CC(=O)Nc1cccc(c1C(=O)O)Cl,490.15
12339,S=C(Oc1ccc2ccccc2c1)N(C)C,363.15
22199,Oc2ccc(C)cc2/N=N/c1ccccc1,381.65
22724,O=C(Oc1c(cccc1OC)C=Cc2ccc(OC)c(OC)c2)C,374.5
17907,O=S(Cl)(=O)c1ccc(NC(C)=O)cc1,422.15
12295,[O-][nH0+]1o[nH0]c2cc(OC)ccc12,391.15
8631,CC(C)(C)C#N,290.15
1458,c1cc(c(cc1Cl)Cl)C=O,344.15
7998,CCCCOCC,149.14999999999998
626,C#Cc1cc(cc(c1)C#C)C#C,379.15
23164,C1(CCCC1)N,187.45
3966,c1cc(c(c(c1)F)O)C(=O)O,420.15
14366,S=C(Nc1ccccc1)Nc2ccccc2,427.15
1926,Cc1cccnc1N,304.15
4983,c1cc(ccc1N=C=S)Cl,318.15
13176,CCc1ccc(N)cc1,268.15
19712,Oc1cc(C)nc2ccccc12,507.15
14703,NNc1ccc(cc1)C(=O)O,478.15
19439,O=C1C=Cc2c(OC)c3C=CC(C)(C)Oc3cc2O1,406.15
21423,Oc1ccc(cc1OC)/C=C3CCCC(=Cc2cc(OC)c(O)cc2)C3=O,451.65
14579,Cc1c(cc(cc1[N+](=O)[O-])[N+]([O-])=O)[N+]([O-])=O,353.15
3656,c1ccc(cc1)COc2cccc(c2)CO,322.15
6593,CCCC#N,161.14999999999998
9886,O=[N+]([O-])c1oc(cc1)C=CC(=O)C,467.15
11836,S=C1SC(N=Nc2ccccc2C(=O)O)C(=O)N1,518.15
11337,O=C(Nc1cccc(N=Nc2cccc(NC(=O)c3ccccc3)c2)c1)c1ccccc1,558.15
9282,ON=C(Cc1ccccc1)c1cccc2ccccc21,423.15
21961,NC(=O)CC(C)n2nnc1ccccc12,376.15
16372,O=CN1CCOCC1,294.15
12687,O(CCCN(C)C)c1[nH0][nH0](Cc2ccccc2)c2ccccc21,433.15
8999,O=C1N=NC(=O)c2cc3CCCc3cc12,583.15
5091,CC(=O)c1ccc(cc1O)F,305.15
6496,COC(=O)C(NC(=O)OCc1ccccc1)P(=O)(OC)OC,351.15
18924,OC(C(=O)CO)C(O)C(O)CO,438.15
8815,NC(=N)NCC2COc1ccccc1O2,437.15
13651,O=C(N)c1cccc(c1)C(N)=O,553.15
23059,O=[N+]([O-])c1ccc(C)cc1,326.15
16707,COc1cccc(OC)c1C(C)=O,342.15
6600,CC1(C2CCC1(C(=O)C2)C)C,447.15
21529,C=CC3CNCCC3CCC(=O)c2ccnc1ccc(OC)cc12,333.15
14507,Cc1cc(C)cc(C)n1,227.15
701,Cc1ccc(c(c1)C)C,229.15
7014,CCOC=C(C#N)C#N,338.15
4930,c1cc(ccc1C(=O)CCCCl)O,386.15
19699,O=C(O)C(O)C(Cl)(Cl)Cl,398.15
13423,CC(C)(C)C(C)(C)C(C)C,237.15
10790,OC1OC2(CCCCC2)Cc2ccccc21,362.15
11436,O=C(c1cccc2ccccc21)C(O)c1ccccc1,378.15
11625,O=C([nH0]1cc(c2ccccc12)C(=O)c1ccc(OCc2ccccc2)cc1)c1ccc(OCc2ccccc2)cc1,454.15
248,COc1cc(cc(c1)Cl)OC,307.15
8029,CCN1C(=O)C=CC1=O,318.15
14662,Brc1cc(c(C)c(Br)c1O)C3(OS(=O)(=O)c2ccccc23)c4cc(Br)c(O)c(Br)c4C,498.15
19651,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,356.45
13720,Nc1cc(Br)ccc1,290.15
20782,CCC(C(=O)OC)c1ccccc1,350.65
3999,Cc1ccc(c(n1)[N+](=O)[O-])O,380.15
11993,O=C1OC(=NC1=Cc1ccc(C)cc1)C,518.15
13475,COc1ccc(/C=C/C)cc1,296.15
10993,O(C)c1cc2CCN(C)C(C)c2cc1OCc1ccccc1,355.15
5034,CCN(CC)c1ccc(cc1)C=NO,369.15
11320,O=C1C(=CNc2ccc(OC(=O)C)cc2)C2CCC1(C)C2(C)C,495.15
18391,O=C(O)[C@H]3[C@@H]5[C@]1(C)C(=O)O[C@]5(C=C[C@@H]1O)[C@@H]4CC[C@]2(O)C[C@]34CC2=C,507.15
2086,c1ccc(cc1)c2ccccc2CO,322.15
4980,c1cc(ccc1OCC#N)Cl,320.15
15964,FC(F)(F)C(F)(F)C(F)(F)I,178.14999999999998
23300,O=C(NC/1=N/C(=O)c2ncn(c2N\1)COCCO)C,490.15
2241,c1c(sc(n1)Br)C=O,367.15
22080,O=S(=O)(CCO)c1ccc(cc1C(=O)OC)S(N)(=O)=O,372.15
22247,FC(F)(F)/N=C/2SC(=Nc1ccccc1)N(C2=N/C(F)(F)F)c3ccccc3,391.15
2589,CC(=O)c1ccc(cc1F)O,395.15
23407,[O-][N+](=O)c2c(N(CCC)CC1CC1)c([N+]([O-])=O)cc(c2)C(F)(F)F,305.15
18403,ClC(Cl)(F)C(Cl)(Cl)F,299.15
18862,O=C(O)COc3nn(Cc1ccccc1)c2ccccc23,433.15
5146,c1cc(ccc1C(=O)NN)F,437.15
4527,CC(=O)c1ccc(cc1)c2ccccc2,393.15
11848,S1c2[nH0][nH0]c([nH0]2NC1c1ccccc1OC)c1ccc(OCC)cc1,467.15
6298,CCCCCCCCC#CCCCCCCCC(=O)O,318.15
22065,ClC1C2C(Cl)C(Cl)C(C(Cl)Cl)(C1Cl)C2(CCl)C(Cl)Cl,350.15
5035,CCN(CC)c1ccc(cc1)C(=O)O,467.15
19316,O=C(NCCCC)OCC#CI,339.15
7356,CC1(CC(CC(C1)(C)CN=C=O)N=C=O)C,213.15
11304,O=C1C(CC(=O)Nc2ccc(C)cc2)C2CCC1(C)C2(C)C,431.15
20794,ClC(Cl)=C/C3C(C(=O)OC(C#N)c2ccc(F)c(Oc1ccccc1)c2)C3(C)C,333.15
4254,CC(=O)CCc1ccc(cc1)O,355.15
9625,s1cccc1C(=O)C(=NNc1cccc(c1)C(F)(F)F)C#N,447.15
21698,CCCCCCCCC=CC,206.65
18317,O=C(C)N(C(C)=O)c1ccc(cc1C)/N=N/c2ccccc2C,348.15
17306,Oc2ccc3C(=O)c1ccccc1C(=O)c3c2,579.15
7304,c1c(nc[nH]1)C=O,449.15
15930,CC(=O)Oc1ccc2C[C@H]4N(C)CC[C@@]35[C@@H](Oc1c23)[C@H](C=C[C@@H]45)OC(C)=O,446.15
10249,O=C1OOC(=O)C1(C)C,318.15
9515,Clc1ccc(cc1)C(Cl)=NO,551.15
4229,c1cc(ccc1CCCl)C(=O)O,461.15
17679,OC(=O)c1ccccc1F,399.65
23068,O=C(O)CCCCCN,478.15
8486,c1ccc(cc1)C(=C(c2ccccc2)c3ccccc3)c4ccccc4,497.15
884,CC(C)(C)c1ccc(cc1)OCC#N,342.15
21022,O=C(Nc1ccc(C)cc1C)CC(C)=O,363.15
1039,CCCCCCOCCO,231.15
2897,Cc1nc2ccc(cc2o1)[N+](=O)[O-],428.15
5566,CC(C)(C)c1ccc(cc1)C(=O)CCl,309.15
