,smiles,mp
188100,COc1ccc(-n2c(CC(=O)O)c(C(=O)O)c3cc(Oc4ccc(C(F)(F)F)cc4)ccc32)cc1,249.0
130450,NC(=O)c1cc(NCc2cccc(F)c2)c([N+](=O)[O-])cc1[N+](=O)[O-],176.0
2447,O=C(NC(=S)NCCSCc1c[nH]cn1)c1ccccc1,127.0
82525,CCN(CCCOc1cc2ccccc2oc1=O)CC1COc2ccccc2O1,149.5
60100,Cc1csc(-c2sc(Br)cc2-c2ccc(F)cc2)c1,114.5
97921,O=C(O)c1ccc(-c2ccc3cc(O)c(C45CC6CC(CC(C6)C4)C5)cc3c2)cc1,297.5
31425,CN1CCN(S(=O)(=O)c2cc(-c3cs/c(=N\c4ccccc4)n3C)ccc2Cl)CC1,157.0
56894,O=C1c2c(Cl)cccc2-n2cnc(-c3nnc(-c4ccccc4)o3)c2[C@@H]2CCCN12,221.5
184846,CCOCc1nc2c(N)nc3ccccc3c2n1Cc1cc(-c2ccccc2)no1,215.5
30072,O=C(OI(OC(=O)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,85.5
109172,COc1ccc(NC(=O)NC2CCN(Cc3ccccc3)CC2)c(CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c1,174.5
173424,CCCN(C(=O)c1cccc(-c2nc(=O)c3ccccc3s2)n1)C(=O)N(C)C,191.6
118668,CNC(=O)N1N=C(c2ccc([N+](=O)[O-])cc2)c2cc(Br)ccc2CC1C,198.5
37187,C=CCOc1ccc(CC(=O)NCC(=O)O)cc1Cl,117.0
220676,OCc1ccc(-c2ccc(-c3cn([C@H]4CN5CCC4CC5)nn3)cc2)s1,234.0
121883,CC(=O)N[C@H]1CCC(=O)N2CCC[C@@H](C(=O)OC(C)(C)C)N2C1=O,162.5
210901,CCCCc1nc2ccccn2c(=O)c1-c1ccc(N[C@@H]2CCN(C(=O)OC(C)(C)C)C2)cc1C,165.0
150826,Cc1cc(C)c(C2C(=O)N3CCOCCN3C2=O)c(C)c1,249.0
181542,Cc1ccc(C(=O)Nc2ccc(C#N)cc2)cc1Nc1ncc(-c2cccnc2)o1,203.0
56379,CCCC(c1ccc(C)cc1)n1c(C(=O)OC)cnc1S,210.0
142160,COc1cccc2c1cc(C(=O)NCCc1ccncc1)n2Cc1cccc(C(=N)NO)c1,221.0
179374,CC(Cl)C(=O)NCCO,64.0
178604,COc1ccc(F)cc1C(C)(C)CC(O)(CN1CC(=O)N(C)c2ccccc21)C(F)(F)F,133.0
200406,Cc1ccc(C)n1-c1c(C(C)C)cc([N+](=O)[O-])cc1C(C)C,128.5
88587,C[C@H]1[C@@H](c2ccccc2)OC(=O)N1C(=O)CC1c2ccccc2CCc2ccccc21,130.5
73322,CC(=O)N(Cc1ccccc1)c1c(F)c(F)cc(F)c1C(=O)O,151.5
56125,CCc1sc(N)nc1-c1cc(Br)no1,151.5
93893,COc1ccc(NC(C)=O)cc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,205.5
145567,CC(=O)c1c([N+](=O)[O-])[nH]c(-c2ccncc2)c1C,187.5
14246,Cn1c([N+](=O)[O-])cnc1C1=NOC2CCCC12,90.5
79987,CC(=O)[n+]1[n-]oc(=N)c1N1CCOCC1(C)C,115.0
41958,C/C=C(\NC(=O)C1CC1(CC)CC)C(=O)O,129.5
102086,N#Cc1cncc(NCc2ccccc2)c1,131.0
134617,O=C1Nc2ccccc2OC1c1ccccc1,146.0
91336,O=C(Nc1ccccc1)c1ccc(Cn2cnc3ccccc32)cc1,215.0
178287,CCC1c2cccn2-c2ccc(Cl)cc2N1C(=O)c1ccc(O)cc1O,199.5
59933,Cc1cc(O)n2nc(S(=O)(=O)Nc3ccccc3C(F)(F)F)nc2n1,246.0
130532,Nc1nnc(-c2ccc(CN3CCCCCC3)s2)s1,156.5
25765,CC(CO)NC(=O)COc1ccc(CCNS(=O)(=O)c2ccccc2)cc1,90.5
131396,CCCc1nc2c(N)nc3ccc(C)cc3c2s1,148.0
50421,CN1CCC(c2nn(-c3ccccc3C#N)c3ccccc23)CC1,118.0
128618,O=C(/C=C/c1ccc(O)cc1)N1CCc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2,175.0
215002,FC(F)(F)c1cccc(-c2cnnn2-c2cc(Cl)ccc2OCc2nnn[nH]2)c1,182.35
198073,O=C(O)CCCCCCCCCC#CC#Cc1ccco1,63.05
128325,CC(=S)Nc1ccc(-c2nc3ccccc3o2)cc1,212.85
83358,O=S(=O)(O)CC1CNC(Cc2ccccc2)C2CCc3ccccc3C12,156.5
