index,weight,normalized_weight
N-CHI_TETRAHEDRAL_CCW,83.26595706367942,1.0
N-CHI_UNSPECIFIED,10.31970866951728,0.46231289883509064
P-CHI_TETRAHEDRAL_CW,4.389950469060092,0.4186046264070895
I-CHI_UNSPECIFIED,3.5201096229999784,0.41219302590276086
Cl-CHI_UNSPECIFIED,1.3125442880174614,0.39592105261106947
Br-CHI_UNSPECIFIED,1.1133276437838084,0.3944526258955104
S-CHI_UNSPECIFIED,1.0863777052325572,0.39425397778604365
O-CHI_UNSPECIFIED,1.0787500690348457,0.3941977544478162
C-CHI_TETRAHEDRAL_CW,0.6107207508092899,0.39074790839107193
C-CHI_UNSPECIFIED,0.04298413590154102,0.386563119434614
P-CHI_UNSPECIFIED,-0.2550237689835645,0.3843665019247446
F-CHI_UNSPECIFIED,-0.6772397772630624,0.3812543459666955
C-CHI_TETRAHEDRAL_CCW,-0.760300525476051,0.38064210484517946
H-CHI_UNSPECIFIED,-2.347202709867865,0.36894504222521635
Si-CHI_UNSPECIFIED,-15.72889637223639,0.2703085224261858
S-CHI_TETRAHEDRAL_CW,-25.622133620748542,0.19738542940369505
P-CHI_TETRAHEDRAL_CCW,-31.966538599472116,0.150620793843642
S-CHI_TETRAHEDRAL_CCW,-34.89499340732409,0.12903514124067164
N-CHI_TETRAHEDRAL_CW,-52.40076850240297,0.0
