smiles,mp
CCCCc1nccc2c([N+](=O)[O-])cccc12,69.25
Nc1cccc2cnc(Cl)cc12,176.5
Cc1cc2c([N+](=O)[O-])cccc2c(Cl)n1,112.0
CCCCCCCCCCCCC1=CC(=O)C=CC1=S,131.5
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(O)C[C@]12CO[N+](=O)[O-],163.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3CC[C@]12CO[N+](=O)[O-],149.25
COc1cc2ccccc2cc1C(=O)NNC(=O)c1cc2ccccc2cc1OC,261.75
COc1cc2ccccc2cc1C(=O)NNC(=O)c1ccc2ccccc2c1,195.0
CCOC1=Cc2ccccc2N(C)c2ccc(Br)cc21,131.0
CCSc1ccc2c(c1)C(=O)Cc1ccccc1N2C,54.5
CCCCCCCCCCCCc1ccc(C(=O)CC2CCCCN2)cc1,126.5
CC(/C=C/C(=O)CC1CCCCN1)=C\c1ccccc1,179.5
CCc1cccc(CC)c1-n1cccc1C(=O)CC1CCCCN1,163.0
N#Cc1cc2c(cc1Br)nc1n2CCC1,224.0
Clc1ccc2nc3n(c2c1)CCC3,136.0
O=C(O)c1cccc2nc3n(c12)CCC3,311.0
CC(=O)Nc1ccc2nc3n(c2c1)CCC3,252.5
S=C(NCN1CCOCC1)C(c1ccccc1)c1ccccn1,129.0
CC(C(=S)NCN1CCOCC1)c1ccccn1,69.0
Cc1cc(=O)n(-c2cccc(Cl)c2)c(=O)[nH]1,251.0
Cc1cc(=O)n(C2CCCCC2)c(=O)n1C,136.0
O=C(/C=C/c1ccccc1)NN1CC(=O)NC1=O,277.0
Cc1ccc(/C=C/C(=O)NN2CC(=O)NC2=O)cc1Cl,272.0
O=C(/C=C/c1ccc(Cl)cc1)NN1CC(=O)NC1=O,232.5
O=C(/C=C/c1ccc(Cl)c(C(F)(F)F)c1)NN1CC(=O)NC1=O,271.5
CCc1ccc(/C=C/C(=O)NN2CC(=O)NC2=O)cc1Cl,232.5
Cc1cc2c(cc1Cl)C(c1ccccc1)(N1CCOCC1)ON2C(C)(C)C,132.0
CC(C)(C)N1OC(c2ccccc2)(N2CCOCC2)c2cc(Cl)ccc21,131.0
CN1N=C2/C(=C/c3ccccc3)CNCC2C1c1ccccc1,116.0
CN1N=C2/C(=C/c3ccccc3)CN(C(N)=O)CC2C1c1ccccc1,192.0
CN1N=C2/C(=C/c3ccccc3)CN(C(=O)CCl)CC2C1c1ccccc1,89.0
CN(C)CC(=O)N1C/C(=C\c2ccccc2)C2=NN(C)C(c3ccccc3)C2C1,133.0
CN1N=C2/C(=C/c3ccccc3)CN(C(=O)CCCl)CC2C1c1ccccc1,135.0
O=C(NCc1cccnc1)C1Oc2ccc(Cl)cc2Cc2cc(Cl)ccc2O1,225.5
COC(=O)C1Oc2ccc(C)cc2Cc2cc(C)ccc2O1,159.0
CNC(=O)SC(C(=O)O)c1ccccc1,128.5
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(N)C3SC2)s1,206.0
Cc1nnc(SCC2=C(C(=O)OC(c3ccccc3)c3ccccc3)N3C(=O)C(N)C3SC2)s1,158.0
CNc1nc(=O)c2cccnc2n1Cc1ccc(F)cc1,244.0
CC(C)(C)/N=N/C(C)(C)C#N,17.0
CC(C)(C)NNCC(C#N)C(C)(C)C,70.5
CC(C)(C)/N=N/C(C)(C#N)COC(=O)c1ccccc1,58.0
CC(C)(C)/N=N/C1(C(N)=O)CCCCC1,89.0
Clc1ccc2c(NCCCCCCCCCNc3ncnc4cc(Cl)ccc34)ncnc2c1,160.5
COC(=O)c1ccc2c(c1)OCCO2,44.0
COC(=O)c1cc2c(cc1[N+](=O)[O-])OCCO2,116.5
COC(=O)c1cc2c(cc1N)OCCO2,75.0
O=c1[nH]cnc2cc3c(cc12)OCCO3,275.0
Clc1ncnc2cc3c(cc12)OCCO3,171.5
Cc1nc2cc3c(cc2c(=O)[nH]1)OCCO3,275.0
Cc1nc(Cl)c2cc3c(cc2n1)OCCO3,169.0
CCOc1cc(O)nc(N(C)C)n1,194.5
CCCOc1cc(O)nc(N(C)C)n1,194.5
CC(O)CN1N=CCCC1c1ccc(Cl)c(Cl)c1,76.0
CC(O)CN1CCCC(c2cccs2)=N1,75.5
CCC(O)CN1N=C(c2ccc(Cl)cc2)C2CCC2C1=O,117.25
CCC(O)CN1CCC(C)C(c2ccc(Cl)cc2)=N1,91.0
CN(C)c1nc(=O)c2cccnc2n1Cc1ccc(F)cc1,168.5
C=CCNc1nc(=O)c2cccnc2n1Cc1ccc(F)cc1,192.0
CC(=O)c1cccn1Cc1ccco1,42.5
CCOC(=O)C1OC1c1ccc(OC)cc1,41.5
COC(=O)C1(N)CC(N)(OC)C(C)C(OC)=C1c1ncccn1,100.5
COC(=O)c1c(OC)cc(C=O)cc1OC,113.5
COC(=O)c1c(OC)cc(C/C(C#N)=C/Nc2ccccc2)cc1OC,193.5
COc1cc(C(=O)O)cc(OC)c1Cc1cnc(N)nc1N,265.5
COc1cc(C(=O)OC(C)C)cc(OC)c1Cc1cnc(N)nc1N,211.0
CCCCOC(=O)c1cc(OC)c(Cc2cnc(N)nc2N)c(OC)c1,187.0
CCOC(=O)c1cc(OC)c(Cc2cnc(N)nc2N)c(OC)c1,201.5
CCOC(=O)c1cc(OCC)c(C(=O)OCC)c(OCC)c1,143.0
CCOC(=O)c1c(OCC)cc(C=O)cc1OCC,118.0
COc1cc(C/C(C#N)=C/Nc2ccccc2)cc(OC)c1C(N)=O,289.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1CN,177.0
COC(=O)c1cc(OC)c(C#N)c(OC)c1,152.0
COC(=O)c1cc(OC)c(CNC(C)=O)c(OC)c1,184.0
COC(=O)c1cc(OC)c(CCNC(C)=O)c(OC)c1,234.0
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1C(C)=O,230.0
CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1C(O)CS(C)(=O)=O,205.5
COCc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC,222.0
COCc1cc(OC)c(C=O)c(OC)c1,74.0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1C(C)(C)O,184.0
COc1cc(Cc2cnc(N)nc2NC(C)=O)cc(OC)c1C(C)(C)O,215.0
COc1cc(C=O)cc(OC)c1C(C)(C)O,55.0
CCOC(=O)/C(C#N)=C/c1cc(OC)c(C(=O)OC)c(OC)c1,143.0
CCOC(=O)/C(C#N)=C/C1C=C(OC)C(C(=O)OC)=C(OC)C1,120.0
COC(=O)c1cc(OC)c(Cc2c(N)nc(N)nc2O)c(OC)c1,225.0
COC(=O)c1cc(OC)c(Cc2c(N)nc(N)nc2Cl)c(OC)c1,228.5
CNC(=O)CCC(=O)c1ccc(OCC2CO2)cc1,136.5
CC(C)NCC(O)COc1ccc(C2=NNC(=O)CC2)cc1,111.5
CC(C)NCC(O)COc1ccccc1C1=NNC(=O)CC1,125.0
COC(=O)CCC(=O)c1ccccc1OCC(O)CNC(C)(C)C,80.75
CC(C)NCC(O)COc1ccccc1C1=NN(C)C(=O)CC1,83.0
O=C1CCC(c2ccc(OCC3CO3)c3ccccc23)=NN1,153.0
CC(C)NCC(O)COc1ccc(C2=NNC(=O)CC2)c2ccccc12,133.0
COC(=O)CCC(=O)c1cccc(O)c1,102.25
C=CCOc1cccc(C(=O)CCC(=O)OC)c1,31.25
C=CCc1ccc(C(=O)CCC(=O)OC)cc1O,91.25
C=CCc1ccc(C2=NNC(=O)CC2)cc1O,176.5
C=CCOc1cccc(C2=NNC(=O)CC2)c1,112.0
C=CCc1c(O)cccc1C1=NNC(=O)CC1,198.5
C=CCOc1ccc(C2=NNC(=O)CC2)cc1,131.25
C=CCc1cc(C2=NNC(=O)CC2)ccc1O,242.0
C=CCc1cc(C2=NNC(=O)CC2)ccc1OCC1CO1,93.75
C=CCc1cc(C2=NNC(=O)CC2)ccc1OCC(O)CNC(C)C,95.25
COC(=O)CCC(=O)c1cccc(Cl)c1O,61.0
COC(=O)CCC(=O)c1ccc(O)c(Cl)c1,87.0
O=C(O)CCC(=O)c1ccc(O)c(Cl)c1,157.5
O=C1CCC(c2ccc(OCC3CO3)c(Cl)c2)=NN1,148.25
Clc1cc(Br)ccc1OCc1ccccc1,59.75
